Dimension,Practica,Peso,Basico_Max,Medio_Max,Avanzado_Max

Estrategia y Gobernanza de Innovación,Rol transversal con autoridad y recursos,30,50,80,100
Estrategia y Gobernanza de Innovación,Plan estratégico documentado y revisado periódicamente,40,40,70,100
Estrategia y Gobernanza de Innovación,Matriz de riesgos con planes de mitigación,30,10,60,100

Adopción Tecnológica y Experimentación,Tecnologías nuevas adoptadas/año,15,20,65,100
Adopción Tecnológica y Experimentación,Backlog priorizado de PoCs,10,50,100,100
Adopción Tecnológica y Experimentación,% PoCs que pasan a producción,20,30,65,100
Adopción Tecnológica y Experimentación,PoCs con beneficio al cliente,15,30,60,100
Adopción Tecnológica y Experimentación,Valor generado (€ o tiempo),20,10,55,100
Adopción Tecnológica y Experimentación,Proyectos de innovación financiados por cliente,5,20,60,100
Adopción Tecnológica y Experimentación,ROI medido para el cliente,10,0,50,100
Adopción Tecnológica y Experimentación,Casos de éxito documentados,5,0,50,100

Radar tecnológico,Frecuencia de actualización del radar tecnológico interno,40,30,70,100
Radar tecnológico,Frecuencia de actualización del radar tecnológico externo,30,10,50,100
Radar tecnológico,Documentación de tecnologías abandonadas y razones,30,10,50,100

Eficiencia,Eficiencia operativa como prioridad y medida,20,30,60,100
Eficiencia,Procesos manuales automatizados/año,30,20,60,100
Eficiencia,Aplicación de IA para eficientar procesos,20,20,60,100
Eficiencia,Dashboard de innovación con revisión periódica,15,10,50,100
Eficiencia,Planes de acción basados en métricas,15,10,50,100

Cultura y Capacidades Organizacionales,Repositorio de conocimiento actualizado,30,20,60,100
Cultura y Capacidades Organizacionales,Documentación y reutilización de lecciones aprendidas,30,10,60,100
Cultura y Capacidades Organizacionales,Proyectos transversales y colaboración inter-áreas,20,10,60,100
Cultura y Capacidades Organizacionales,Convenios y proyectos piloto con entidades externas,20,0,50,100
